mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_most_bpka,cx_logp,cx_logd,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,PCT_IHB_3D7,pXC50_3D7
463.93,6.19,3.0,2.0,41.49,9.0,1.0,9.59,6.38,4.22,463.93,3.0,32.0,0.4,463.1526,3.0,2.0,1.0,-0.84,97.0,6.02669
406.46,4.72,4.0,1.0,50.8,7.0,0.0,7.59,4.37,3.96,406.46,3.0,30.0,0.62,406.1693,5.0,1.0,0.0,-1.14,91.0,6.02543
530.67,3.39,6.0,3.0,103.79,10.0,1.0,9.83,2.53,0.16,576.69,3.0,39.0,0.37,530.2893,8.0,3.0,1.0,-0.33,99.0,6.41946
440.93,7.89,4.0,1.0,43.38,5.0,1.0,8.05,6.64,5.93,440.93,5.0,32.0,0.3,440.1292,4.0,1.0,1.0,-0.99,100.0,6.16067
157.18,-0.94,6.0,3.0,100.23,0.0,0.0,8.03,-1.09,-1.79,193.64,0.0,11.0,0.42,157.0964,6.0,5.0,0.0,0.45,93.0,6.71562
454.55,3.21,4.0,3.0,99.66,11.0,0.0,1.61,3.32,3.32,454.55,2.0,33.0,0.36,454.238,7.0,3.0,0.0,-0.64,95.0,6.15979
430.62,6.02,4.0,0.0,34.89,5.0,1.0,0.57,6.42,6.42,430.62,3.0,31.0,0.37,430.2079,3.0,0.0,1.0,-1.03,100.0,6.45974
608.83,8.38,3.0,2.0,47.61,12.0,2.0,9.69,8.02,4.71,722.85,5.0,46.0,0.14,608.3515,5.0,2.0,2.0,-1.17,100.0,6.75326
427.61,4.97,4.0,1.0,62.3,7.0,0.0,8.31,4.57,4.57,427.61,2.0,30.0,0.63,427.2293,5.0,1.0,0.0,-1.47,96.0,6.17245
386.46,3.75,5.0,1.0,68.92,4.0,0.0,3.26,4.71,4.71,386.46,4.0,29.0,0.58,386.1743,6.0,1.0,0.0,-1.71,96.0,6.063
563.57,8.38,2.0,2.0,51.37,9.0,2.0,10.08,7.36,4.74,563.57,4.0,39.0,0.21,562.2266,5.0,2.0,2.0,-1.13,91.0,5.9239
516.07,3.45,7.0,2.0,96.33,6.0,1.0,8.86,2.35,2.07,630.09,3.0,35.0,0.52,515.1758,8.0,2.0,1.0,-1.75,95.0,6.08227
442.64,4.8,5.0,2.0,51.75,17.0,0.0,10.62,5.42,-0.08,479.11,2.0,32.0,0.34,442.3195,5.0,2.0,0.0,0.07,98.0,6.05982
376.55,4.61,4.0,1.0,31.4,8.0,0.0,9.31,4.23,1.5,413.01,3.0,28.0,0.46,376.2627,4.0,1.0,0.0,-0.82,100.0,6.29045
429.47,5.35,5.0,1.0,77.77,5.0,1.0,8.31,4.65,4.65,429.47,4.0,32.0,0.46,429.1576,6.0,1.0,1.0,-0.5,86.0,5.78808
244.25,1.13,3.0,3.0,100.87,3.0,0.0,2.38,1.09,1.04,244.25,2.0,18.0,0.75,244.096,6.0,4.0,0.0,-1.01,99.0,6.60342
451.57,5.18,5.0,3.0,78.94,9.0,1.0,6.12,5.72,5.7,565.6,4.0,34.0,0.33,451.2372,6.0,3.0,1.0,-1.14,100.0,6.0692
399.48,4.86,4.0,3.0,86.46,5.0,0.0,6.4,4.04,4.01,399.48,5.0,29.0,0.39,399.1154,6.0,3.0,0.0,-1.35,90.0,5.97648
390.24,5.44,2.0,2.0,49.33,4.0,1.0,8.31,5.47,5.39,390.24,3.0,26.0,0.62,389.0386,3.0,2.0,1.0,-1.25,99.0,6.25229
384.53,5.89,4.0,2.0,40.19,8.0,1.0,9.54,4.77,2.47,384.53,4.0,29.0,0.37,384.2314,4.0,2.0,1.0,-1.15,100.0,6.70631
463.97,4.59,6.0,2.0,87.16,6.0,0.0,8.42,3.92,2.86,463.97,4.0,33.0,0.43,463.1775,7.0,2.0,0.0,-1.32,97.0,6.13241
533.64,6.13,4.0,1.0,38.4,5.0,2.0,8.96,5.62,3.66,647.66,4.0,39.0,0.34,533.2766,5.0,1.0,2.0,-1.35,100.0,6.85392
451.31,6.27,5.0,2.0,90.8,6.0,1.0,7.3,5.57,5.33,451.31,4.0,31.0,0.34,450.065,6.0,2.0,1.0,-1.29,86.0,6.06119
370.45,5.09,4.0,0.0,36.28,8.0,1.0,6.47,4.94,4.9,370.45,4.0,28.0,0.43,370.1681,4.0,0.0,1.0,-0.95,86.0,6.02345
399.41,1.56,11.0,3.0,164.27,8.0,1.0,9.94,-0.26,-2.68,513.43,4.0,29.0,0.37,399.1655,11.0,5.0,1.0,-0.63,93.0,5.86602
336.4,5.03,3.0,2.0,67.59,2.0,1.0,6.63,3.69,3.62,336.4,5.0,26.0,0.48,336.1375,4.0,3.0,1.0,-0.27,100.0,6.26564
624.84,5.63,7.0,2.0,113.01,6.0,2.0,8.31,4.78,4.78,624.84,1.0,44.0,0.31,624.3233,8.0,2.0,2.0,0.57,93.0,5.99504
402.42,3.61,5.0,1.0,48.47,3.0,0.0,6.93,4.42,4.29,516.44,2.0,27.0,0.8,402.1137,5.0,1.0,0.0,-2.27,92.0,5.9719
486.64,4.84,5.0,1.0,65.54,6.0,0.0,9.09,2.83,2.7,600.66,4.0,35.0,0.42,486.2089,6.0,1.0,0.0,-1.69,97.0,6.11693
406.98,5.54,4.0,1.0,41.57,7.0,1.0,9.37,4.93,2.97,521.0,2.0,27.0,0.66,406.1482,4.0,1.0,1.0,-1.88,89.0,5.98248
433.51,5.02,5.0,1.0,84.71,9.0,1.0,9.53,5.17,3.05,469.97,3.0,32.0,0.38,433.2002,7.0,1.0,1.0,-1.16,98.0,6.09553
586.59,6.05,6.0,1.0,78.43,11.0,2.0,9.05,5.66,4.01,586.59,3.0,39.0,0.22,585.1732,7.0,1.0,2.0,-1.48,96.0,6.7314
416.53,2.15,7.0,2.0,93.54,6.0,0.0,3.3,0.03,0.03,416.53,2.0,30.0,0.75,416.2536,9.0,2.0,0.0,-1.66,98.0,6.04953
434.41,5.41,3.0,1.0,35.58,6.0,1.0,9.57,5.37,3.22,548.43,2.0,29.0,0.66,433.1688,4.0,1.0,1.0,-1.88,91.0,6.04925
278.31,3.9,3.0,1.0,55.13,3.0,0.0,8.31,3.66,3.66,278.31,3.0,21.0,0.79,278.1055,4.0,1.0,0.0,-1.84,90.0,6.15847
